,action_taken,denial_reason_1,denial_reason_2,denial_reason_3
216136,1,,,
216137,1,,,
216139,1,,,
216141,1,,,
216142,1,,,
216143,1,,,
216145,1,,,
216146,1,,,
216148,1,,,
216149,1,,,
216150,1,,,
216152,1,,,
216153,1,,,
216155,1,,,
216158,1,,,
216159,1,,,
216161,1,,,
216162,1,,,
216163,2,,,
216164,1,,,
216165,1,,,
216167,1,,,
216169,1,,,
216171,1,,,
216172,1,,,
216174,1,,,
216175,1,,,
216176,1,,,
216177,1,,,
216178,3,,,
216179,1,,,
216181,1,,,
216182,1,,,
216183,1,,,
216184,1,,,
216185,1,,,
216186,1,,,
216187,3,,,
216188,1,,,
216189,3,3.0,,
216190,5,,,
216191,1,,,
216194,3,,,
216195,3,,,
216196,3,,,
216200,1,,,
216201,3,1.0,,
216202,1,,,
216203,1,,,
216205,1,,,
216206,1,,,
216207,1,,,
216208,1,,,
216210,1,,,
216212,1,,,
216214,1,,,
216215,1,,,
216219,1,,,
216220,1,,,
216223,1,,,
216225,1,,,
216226,1,,,
216227,1,,,
216230,1,,,
216231,1,,,
216232,1,,,
216234,1,,,
216235,1,,,
216236,1,,,
216237,1,,,
216239,1,,,
216241,1,,,
216242,1,,,
216243,1,,,
216244,1,,,
216247,1,,,
216248,1,,,
216249,1,,,
216251,5,,,
216254,1,,,
216255,1,,,
216256,1,,,
216258,3,3.0,,
216262,1,,,
216263,1,,,
216265,1,,,
216266,1,,,
216267,1,,,
216268,1,,,
216269,1,,,
216270,1,,,
216271,1,,,
216272,1,,,
216274,1,,,
216275,1,,,
216276,1,,,
216277,3,3.0,,
216278,1,,,
216279,1,,,
216280,1,,,
216281,1,,,
216283,1,,,
216284,1,,,
216285,3,6.0,7.0,
216286,1,,,
216287,3,,,
216289,1,,,
216290,1,,,
216291,3,3.0,,
216292,1,,,
216293,1,,,
216294,1,,,
216295,1,,,
216297,3,,,
216301,1,,,
216303,1,,,
216304,3,9.0,,
216306,1,,,
216308,1,,,
216309,1,,,
216310,1,,,
216311,1,,,
216312,1,,,
216314,1,,,
216317,1,,,
216322,1,,,
216323,1,,,
216324,1,,,
216325,1,,,
216326,1,,,
216329,5,,,
216330,1,,,
216331,1,,,
216332,1,,,
216333,1,,,
216334,3,5.0,,
216335,1,,,
216336,1,,,
216339,1,,,
216345,1,,,
216346,1,,,
216347,1,,,
216348,1,,,
216349,1,,,
216350,1,,,
216351,1,,,
216353,1,,,
216354,1,,,
216355,1,,,
216356,1,,,
216357,1,,,
216358,1,,,
216360,5,,,
216362,1,,,
216364,1,,,
216367,1,,,
216368,1,,,
216369,1,,,
216370,1,,,
216371,1,,,
216372,1,,,
216373,1,,,
216374,1,,,
216377,1,,,
216381,1,,,
216382,1,,,
216383,1,,,
216384,1,,,
216385,2,,,
216386,1,,,
216387,2,,,
216388,1,,,
216389,3,3.0,,
216390,5,,,
216391,1,,,
216392,3,,,
216393,1,,,
216394,1,,,
216397,1,,,
216398,2,,,
216399,1,,,
216400,1,,,
216401,1,,,
216403,1,,,
216404,1,,,
216405,1,,,
216409,1,,,
216410,5,,,
216411,1,,,
216413,1,,,
216414,1,,,
216416,1,,,
216417,1,,,
216418,1,,,
216419,1,,,
216420,1,,,
216423,1,,,
216424,1,,,
216427,1,,,
216428,3,3.0,,
216429,1,,,
216430,1,,,
216431,3,4.0,,
216434,1,,,
216435,1,,,
216436,1,,,
216437,1,,,
216438,1,,,
216439,1,,,
216440,1,,,
216441,1,,,
216442,1,,,
216443,1,,,
216445,1,,,
216446,1,,,
216447,1,,,
216448,1,,,
216449,1,,,
216452,1,,,
216453,1,,,
216454,1,,,
216455,1,,,
216456,1,,,
216458,1,,,
216459,1,,,
216460,1,,,
216461,1,,,
216466,1,,,
216468,1,,,
216472,1,,,
216473,1,,,
216474,1,,,
216475,1,,,
216476,1,,,
216477,1,,,
216478,1,,,
216479,1,,,
216480,1,,,
216481,1,,,
216482,1,,,
216483,3,4.0,,
216484,2,,,
216485,1,,,
216487,1,,,
216489,3,,,
216491,5,,,
216494,1,,,
216496,1,,,
216497,1,,,
216498,1,,,
216499,1,,,
216500,1,,,
216501,3,,,
216502,1,,,
216503,1,,,
216504,1,,,
216506,5,,,
216508,3,,,
216509,3,,,
216510,1,,,
216513,1,,,
216515,1,,,
216516,1,,,
216517,1,,,
216518,1,,,
216519,1,,,
216520,1,,,
216521,1,,,
216522,1,,,
216524,1,,,
216525,1,,,
216526,3,1.0,,
216528,2,,,
216529,1,,,
216530,1,,,
216531,1,,,
216532,1,,,
216534,1,,,
216536,2,,,
216537,1,,,
216538,1,,,
216539,1,,,
216540,1,,,
216541,1,,,
216542,1,,,
216543,1,,,
216544,1,,,
216545,1,,,
216549,1,,,
216550,3,4.0,,
216552,1,,,
216554,1,,,
216555,1,,,
216558,1,,,
216559,1,,,
216560,1,,,
216562,1,,,
216564,1,,,
216566,1,,,
216567,1,,,
216569,1,,,
216570,1,,,
216571,1,,,
216572,1,,,
216573,1,,,
216574,1,,,
216575,1,,,
216577,1,,,
216578,1,,,
216579,1,,,
216581,1,,,
216582,1,,,
216583,2,,,
216584,1,,,
216585,3,1.0,,
216587,1,,,
216589,1,,,
216592,1,,,
216596,1,,,
216597,1,,,
216598,1,,,
216599,1,,,
216600,1,,,
216601,1,,,
216602,1,,,
216603,1,,,
216605,1,,,
216607,1,,,
216609,1,,,
216611,1,,,
216612,1,,,
216613,1,,,
216616,1,,,
216617,1,,,
216618,1,,,
216619,1,,,
216620,1,,,
216622,1,,,
216623,2,,,
216625,1,,,
216626,1,,,
216627,1,,,
216629,3,1.0,,
216630,1,,,
216632,1,,,
216633,1,,,
216637,3,,,
216638,2,,,
216640,1,,,
216641,1,,,
216642,1,,,
216644,1,,,
216645,1,,,
216647,1,,,
216649,1,,,
216650,1,,,
216654,1,,,
216655,1,,,
216656,1,,,
216657,1,,,
216658,1,,,
216659,1,,,
216661,5,,,
216663,1,,,
216665,1,,,
216666,3,3.0,,
216667,3,9.0,,
216668,1,,,
216669,1,,,
216670,1,,,
216672,1,,,
216673,1,,,
216674,1,,,
216675,1,,,
216676,2,,,
216677,1,,,
216678,1,,,
216679,1,,,
216680,3,4.0,,
216681,1,,,
216682,1,,,
216684,1,,,
216686,3,,,
216687,1,,,
216688,1,,,
216690,1,,,
216692,1,,,
216693,1,,,
216694,1,,,
216695,1,,,
216696,1,,,
216697,1,,,
216698,1,,,
216699,1,,,
216700,2,,,
216701,1,,,
216702,1,,,
216703,1,,,
216704,1,,,
216706,1,,,
216709,2,,,
216710,2,,,
216713,1,,,
216714,1,,,
216715,1,,,
216716,1,,,
216718,1,,,
216720,1,,,
216721,1,,,
216722,1,,,
216725,1,,,
216726,1,,,
216727,1,,,
216729,3,3.0,,
216731,1,,,
216733,1,,,
216735,1,,,
216736,1,,,
216737,3,,,
216739,1,,,
216741,1,,,
216742,2,,,
216743,1,,,
216744,1,,,
216747,1,,,
216749,1,,,
216750,1,,,
216751,1,,,
216752,1,,,
216754,1,,,
216755,1,,,
216757,1,,,
216758,1,,,
216759,1,,,
216760,1,,,
216761,1,,,
216762,1,,,
216764,1,,,
216765,1,,,
216768,1,,,
216769,3,,,
216771,1,,,
216772,1,,,
216774,1,,,
216775,1,,,
216776,1,,,
216777,1,,,
216778,1,,,
216780,1,,,
216781,1,,,
216783,1,,,
216785,1,,,
216786,1,,,
216787,1,,,
216788,1,,,
216789,1,,,
216790,1,,,
216793,1,,,
216795,1,,,
216796,1,,,
216798,1,,,
216799,1,,,
216800,1,,,
216802,1,,,
216803,1,,,
216804,1,,,
216805,1,,,
216806,1,,,
216808,1,,,
216809,1,,,
216810,1,,,
216811,1,,,
216812,1,,,
216815,1,,,
216816,3,9.0,,
216817,1,,,
216818,1,,,
216820,1,,,
216822,1,,,
216823,1,,,
216824,1,,,
216826,1,,,
216828,1,,,
216829,1,,,
216831,1,,,
216832,1,,,
216833,1,,,
216834,1,,,
216837,5,,,
216839,2,,,
216841,1,,,
216842,1,,,
216843,1,,,
216844,1,,,
216846,1,,,
216847,1,,,
216850,3,,,
216851,1,,,
216852,1,,,
216853,1,,,
216854,3,,,
216859,1,,,
216860,1,,,
216861,1,,,
216863,1,,,
216864,1,,,
216865,1,,,
216867,1,,,
216869,1,,,
216870,1,,,
216871,1,,,
216872,1,,,
216873,1,,,
216875,1,,,
216876,1,,,
216877,1,,,
216878,1,,,
216879,1,,,
216880,3,3.0,,
216881,1,,,
216882,3,7.0,,
216883,1,,,
216884,1,,,
216886,1,,,
216888,1,,,
216889,1,,,
216891,1,,,
216892,1,,,
216893,1,,,
216894,1,,,
216895,1,,,
216897,1,,,
216899,1,,,
216900,1,,,
216902,3,3.0,1.0,
216903,1,,,
216904,1,,,
216907,1,,,
216908,1,,,
216910,1,,,
216915,1,,,
216917,1,,,
216918,1,,,
216919,1,,,
216921,1,,,
216922,1,,,
216923,1,,,
216924,1,,,
216925,1,,,
216926,1,,,
216928,1,,,
216930,1,,,
216931,1,,,
216932,1,,,
216934,1,,,
216938,1,,,
216939,3,,,
216940,1,,,
216941,3,,,
216942,1,,,
216944,1,,,
216945,1,,,
216946,1,,,
216947,2,,,
216948,2,,,
216949,1,,,
216952,1,,,
216953,1,,,
216954,1,,,
216955,2,,,
216957,3,,,
216958,1,,,
216960,1,,,
216961,1,,,
216962,3,3.0,1.0,
216964,1,,,
216965,1,,,
216967,1,,,
216969,1,,,
216971,5,,,
216973,1,,,
216974,2,,,
216975,1,,,
216977,1,,,
216980,2,,,
216981,1,,,
216983,1,,,
216984,1,,,
216986,1,,,
216987,3,3.0,,
216990,1,,,
216991,3,4.0,,
216994,1,,,
216995,1,,,
216996,1,,,
216998,2,,,
217000,1,,,
217003,1,,,
217007,1,,,
217009,1,,,
217010,1,,,
217011,1,,,
217012,1,,,
217013,1,,,
217014,1,,,
217015,1,,,
217016,2,,,
217017,1,,,
217018,1,,,
217020,1,,,
217023,1,,,
217024,3,,,
217025,1,,,
217026,1,,,
217027,3,1.0,9.0,
217028,1,,,
217031,1,,,
217033,1,,,
217034,5,,,
217036,1,,,
217037,1,,,
217040,1,,,
217041,3,9.0,,
217042,3,,,
217047,1,,,
217049,1,,,
217050,1,,,
217051,1,,,
217052,1,,,
217055,1,,,
217056,1,,,
217058,1,,,
217059,1,,,
217060,1,,,
217061,1,,,
217062,1,,,
217063,1,,,
217064,1,,,
217065,3,,,
217067,1,,,
217068,1,,,
217069,1,,,
217072,3,3.0,,
217073,5,,,
217074,1,,,
217075,1,,,
217076,1,,,
217079,1,,,
217080,1,,,
217081,1,,,
217083,1,,,
217084,1,,,
217085,1,,,
217087,1,,,
217088,1,,,
217089,1,,,
217092,1,,,
217094,1,,,
217097,1,,,
217098,1,,,
217099,1,,,
217100,1,,,
217102,1,,,
217104,3,7.0,,
217105,1,,,
217107,1,,,
217109,1,,,
217111,1,,,
217112,1,,,
217113,1,,,
217114,1,,,
217119,1,,,
217121,1,,,
217122,1,,,
217123,3,6.0,,
217125,2,,,
217130,1,,,
217131,2,,,
217132,1,,,
217133,1,,,
217135,1,,,
217136,1,,,
217137,5,,,
217138,1,,,
217140,1,,,
217141,1,,,
217142,1,,,
217143,1,,,
217145,1,,,
217147,1,,,
217149,1,,,
217150,2,,,
217152,1,,,
217153,1,,,
217155,1,,,
217156,1,,,
217157,1,,,
217158,1,,,
217161,1,,,
217162,1,,,
217163,1,,,
217164,1,,,
217167,1,,,
217170,1,,,
217171,1,,,
217172,1,,,
217173,1,,,
217174,1,,,
217175,1,,,
217176,1,,,
217177,2,,,
217178,1,,,
217179,1,,,
217183,1,,,
217184,1,,,
217186,1,,,
217188,1,,,
217191,1,,,
217192,1,,,
217194,1,,,
217195,1,,,
217196,1,,,
217197,1,,,
217199,3,1.0,,
217201,1,,,
217202,3,7.0,,
217204,1,,,
217206,1,,,
217207,2,,,
217210,1,,,
217211,1,,,
217212,1,,,
217214,1,,,
217216,1,,,
217217,1,,,
217218,1,,,
217221,1,,,
217224,1,,,
217225,1,,,
217226,1,,,
217230,1,,,
217234,1,,,
217235,1,,,
217236,1,,,
217238,1,,,
217239,3,3.0,1.0,9.0
217240,1,,,
217241,3,1.0,,
217242,1,,,
217243,1,,,
217244,1,,,
217246,1,,,
217249,3,5.0,3.0,
217250,1,,,
217252,1,,,
217255,1,,,
217257,1,,,
217258,1,,,
217259,1,,,
217261,1,,,
217262,3,,,
217266,3,,,
217267,1,,,
217268,1,,,
217269,1,,,
217270,1,,,
217271,3,3.0,,
217272,1,,,
217273,1,,,
217274,1,,,
217278,1,,,
217279,1,,,
217280,1,,,
217281,1,,,
217282,1,,,
217283,1,,,
217284,1,,,
217285,1,,,
217288,1,,,
217289,1,,,
217293,1,,,
217295,1,,,
217296,1,,,
217298,1,,,
217299,1,,,
217300,1,,,
217302,1,,,
217305,1,,,
217306,2,,,
217308,1,,,
217310,3,,,
217311,3,1.0,5.0,
217318,1,,,
217319,1,,,
217321,1,,,
217323,1,,,
217324,1,,,
217326,5,,,
217327,1,,,
217328,3,3.0,,
217329,3,1.0,3.0,
217330,3,1.0,,
217331,5,,,
217333,1,,,
217336,1,,,
217338,2,,,
217340,1,,,
217341,1,,,
217342,1,,,
217343,1,,,
217345,1,,,
217351,1,,,
217352,1,,,
217353,1,,,
217355,1,,,
217356,1,,,
217357,1,,,
217358,3,3.0,,
217359,5,,,
217362,1,,,
217363,1,,,
217365,1,,,
217366,1,,,
217367,1,,,
217369,1,,,
217370,3,,,
217373,1,,,
217374,1,,,
217378,1,,,
217380,1,,,
217381,1,,,
217385,2,,,
217386,1,,,
217388,1,,,
217389,1,,,
217391,1,,,
217392,1,,,
217393,3,,,
217394,1,,,
217396,1,,,
217397,1,,,
217399,1,,,
217402,1,,,
217403,1,,,
217404,1,,,
217406,1,,,
217408,1,,,
217410,1,,,
217411,1,,,
217412,1,,,
217413,1,,,
217414,1,,,
217419,1,,,
217421,1,,,
217422,2,,,
217424,3,9.0,,
217426,1,,,
217427,1,,,
217428,1,,,
217430,3,,,
217433,1,,,
217434,2,,,
217435,1,,,
217437,3,9.0,,
217438,1,,,
217439,1,,,
217440,1,,,
217442,1,,,
217443,1,,,
217444,1,,,
217446,5,,,
217447,1,,,
217449,1,,,
217450,1,,,
217454,1,,,
217456,1,,,
217457,1,,,
217458,1,,,
217459,5,,,
217460,1,,,
217461,1,,,
217462,1,,,
217463,1,,,
217464,1,,,
217466,1,,,
217469,3,2.0,,
217470,1,,,
217471,1,,,
217473,3,4.0,,
217475,1,,,
217476,1,,,
217477,1,,,
217479,1,,,
217481,1,,,
217482,1,,,
217483,3,1.0,,
217488,1,,,
217489,1,,,
217490,1,,,
217491,1,,,
217492,1,,,
217493,1,,,
217494,1,,,
217495,3,4.0,,
217496,1,,,
217497,1,,,
217499,1,,,
217500,5,,,
217501,1,,,
217502,1,,,
217503,1,,,
217505,1,,,
217506,1,,,
217507,3,,,
217508,1,,,
217511,1,,,
217512,1,,,
217516,1,,,
217517,1,,,
217524,1,,,
217525,1,,,
217529,1,,,
217531,1,,,
217532,1,,,
217536,1,,,
217539,1,,,
217540,1,,,
217541,3,3.0,,
217544,1,,,
217546,1,,,
217547,2,,,
217549,5,,,
217550,1,,,
217551,1,,,
217552,5,,,
217553,1,,,
217554,1,,,
217555,1,,,
217556,1,,,
217558,1,,,
217561,3,5.0,,
217562,1,,,
217563,2,,,
217564,1,,,
217566,1,,,
217569,1,,,
217570,1,,,
217572,1,,,
217573,1,,,
217576,1,,,
217577,3,3.0,,
217578,3,,,
217579,5,,,
217581,1,,,
217582,2,,,
217583,2,,,
217584,1,,,
217585,1,,,
217586,1,,,
217587,1,,,
217588,1,,,
217589,1,,,
217592,1,,,
217595,1,,,
217597,1,,,
217598,1,,,
217599,1,,,
217600,3,1.0,,
217601,1,,,
217605,1,,,
217606,3,6.0,,
217610,2,,,
217611,1,,,
217613,1,,,
217614,1,,,
217615,1,,,
217617,1,,,
217618,1,,,
217619,1,,,
217621,1,,,
217623,1,,,
217627,1,,,
217628,5,,,
217629,1,,,
217630,3,,,
217631,1,,,
217632,3,,,
217637,1,,,
217639,1,,,
217641,1,,,
217642,3,,,
217644,1,,,
217646,1,,,
217647,3,1.0,,
217648,1,,,
217649,5,,,
217650,1,,,
217652,1,,,
217653,1,,,
217654,1,,,
217655,1,,,
217656,5,,,
217658,1,,,
217660,1,,,
217661,1,,,
217665,1,,,
217666,1,,,
217667,1,,,
217669,1,,,
217670,1,,,
217671,1,,,
217672,1,,,
217673,1,,,
217675,1,,,
217677,1,,,
217678,1,,,
217679,1,,,
217680,1,,,
217682,1,,,
217683,1,,,
217684,1,,,
217686,1,,,
217687,5,,,
217690,1,,,
217691,1,,,
217693,1,,,
217694,1,,,
217695,1,,,
217696,1,,,
217697,1,,,
217698,1,,,
217700,1,,,
217701,1,,,
217703,1,,,
217705,1,,,
217706,1,,,
217709,1,,,
217710,2,,,
217711,1,,,
217712,3,,,
217713,1,,,
217714,1,,,
217715,1,,,
217717,1,,,
217720,5,,,
217721,1,,,
217722,1,,,
217726,1,,,
217728,1,,,
217729,1,,,
217730,1,,,
217732,1,,,
217733,1,,,
217734,1,,,
217736,1,,,
217738,1,,,
217739,1,,,
217740,1,,,
217741,1,,,
217744,1,,,
217745,2,,,
217748,1,,,
217749,5,,,
217750,5,,,
217751,3,6.0,,
217752,1,,,
217753,3,4.0,,
217754,1,,,
217755,1,,,
217756,1,,,
217759,1,,,
217760,1,,,
217762,2,,,
217764,1,,,
217766,1,,,
217768,2,,,
217769,1,,,
217771,5,,,
217773,3,3.0,,
217774,5,,,
217775,1,,,
217776,2,,,
217779,1,,,
217782,1,,,
217786,1,,,
217787,1,,,
217789,1,,,
217790,1,,,
217791,3,7.0,,
217792,5,,,
217793,1,,,
217794,1,,,
217795,1,,,
217797,3,,,
217799,1,,,
217800,1,,,
217803,1,,,
217804,1,,,
217806,1,,,
217807,1,,,
217809,1,,,
217810,1,,,
217813,1,,,
217814,1,,,
217815,1,,,
217819,1,,,
217820,1,,,
217822,1,,,
217823,1,,,
217824,1,,,
217825,1,,,
217826,1,,,
217827,1,,,
217830,3,3.0,,
217832,1,,,
217833,1,,,
217834,1,,,
217836,1,,,
217837,1,,,
217838,1,,,
217840,1,,,
217841,3,3.0,,
217843,1,,,
217847,3,3.0,,
217848,1,,,
217851,1,,,
217852,1,,,
217854,1,,,
217855,1,,,
217856,1,,,
217857,3,6.0,,
217861,3,1.0,,
217862,1,,,
217865,1,,,
217866,2,,,
217869,1,,,
217870,1,,,
217871,1,,,
217873,1,,,
217876,1,,,
217879,1,,,
217881,1,,,
217884,5,,,
217885,1,,,
217887,3,1.0,,
217889,1,,,
217890,1,,,
217891,1,,,
217892,1,,,
217893,1,,,
217894,1,,,
217895,1,,,
217896,1,,,
217898,3,9.0,,
217899,1,,,
217900,1,,,
217901,1,,,
217902,1,,,
217905,1,,,
217906,3,,,
217908,1,,,
217909,1,,,
217910,1,,,
217911,1,,,
217912,1,,,
217915,1,,,
217917,1,,,
217918,1,,,
217921,5,,,
217922,1,,,
217923,1,,,
217924,3,,,
217925,1,,,
217926,1,,,
217928,2,,,
217929,1,,,
217931,1,,,
217932,1,,,
217933,1,,,
217935,1,,,
217937,1,,,
217940,1,,,
217941,2,,,
217942,1,,,
217943,1,,,
217944,1,,,
217945,1,,,
217947,5,,,
217949,1,,,
217950,5,,,
217951,1,,,
217952,2,,,
217957,1,,,
217958,1,,,
217959,1,,,
217962,1,,,
217963,1,,,
217964,1,,,
217965,1,,,
217968,1,,,
217969,1,,,
217970,1,,,
217971,1,,,
217972,1,,,
217973,1,,,
217974,1,,,
217975,1,,,
217977,1,,,
217978,1,,,
217981,3,,,
217982,1,,,
217983,1,,,
217985,1,,,
217986,1,,,
217987,1,,,
217988,1,,,
217989,1,,,
217991,1,,,
217992,1,,,
217994,1,,,
217996,2,,,
217997,1,,,
217998,1,,,
218000,1,,,
218001,1,,,
218002,1,,,
218003,1,,,
218004,1,,,
218005,1,,,
218009,3,,,
218010,1,,,
218011,1,,,
218013,1,,,
218014,1,,,
218015,1,,,
218016,1,,,
218017,1,,,
218018,1,,,
218019,1,,,
218020,5,,,
218021,1,,,
218022,3,,,
218023,1,,,
218024,1,,,
218025,3,,,
218027,1,,,
218028,1,,,
218029,1,,,
218031,1,,,
218035,1,,,
218036,1,,,
218037,1,,,
218040,5,,,
218042,1,,,
218043,1,,,
218044,1,,,
218045,1,,,
218047,1,,,
218048,1,,,
218052,1,,,
218053,1,,,
218054,1,,,
218055,1,,,
218057,1,,,
218058,1,,,
218060,1,,,
218062,1,,,
218063,1,,,
218064,1,,,
218065,5,,,
218066,1,,,
218067,3,,,
218068,5,,,
218069,1,,,
218070,1,,,
218072,3,,,
218075,1,,,
218076,1,,,
218077,1,,,
218078,1,,,
218079,3,,,
218080,2,,,
218083,1,,,
218085,1,,,
218086,1,,,
218088,1,,,
218089,5,,,
218090,1,,,
218091,3,,,
218092,5,,,
218093,1,,,
218094,3,1.0,,
218095,3,,,
218096,1,,,
218098,3,3.0,,
218100,1,,,
218101,1,,,
218102,1,,,
218103,1,,,
218107,1,,,
218108,3,3.0,,
218109,1,,,
218110,5,,,
218112,1,,,
218113,1,,,
218114,1,,,
218115,1,,,
218116,1,,,
218117,1,,,
218118,1,,,
218119,1,,,
218120,1,,,
218122,1,,,
218124,2,,,
218125,1,,,
218126,1,,,
218127,1,,,
218129,3,4.0,,
218138,5,,,
218139,1,,,
218140,1,,,
218141,1,,,
218142,1,,,
218144,1,,,
218146,1,,,
218147,1,,,
218148,1,,,
218149,1,,,
218150,1,,,
218151,1,,,
218152,1,,,
218153,1,,,
218154,1,,,
218155,1,,,
218157,1,,,
218158,3,1.0,,
218159,1,,,
218161,1,,,
218164,1,,,
218165,1,,,
218167,1,,,
218168,3,4.0,1.0,
218170,1,,,
218171,1,,,
218174,1,,,
218175,1,,,
218176,1,,,
218177,5,,,
218178,1,,,
218179,1,,,
218180,3,3.0,,
218181,3,4.0,,
218183,1,,,
218185,1,,,
218186,1,,,
218187,1,,,
218191,1,,,
218194,3,9.0,,
218195,1,,,
218198,1,,,
218200,1,,,
218201,1,,,
218202,1,,,
218203,5,,,
218204,1,,,
218205,3,4.0,,
218206,3,,,
218207,1,,,
218208,1,,,
218209,1,,,
218210,1,,,
218211,1,,,
218212,1,,,
218213,1,,,
218214,1,,,
218217,1,,,
218219,1,,,
218220,1,,,
218221,1,,,
218222,1,,,
218223,1,,,
218224,1,,,
218225,1,,,
218226,1,,,
218229,1,,,
218233,1,,,
218235,3,3.0,,
218236,1,,,
218237,1,,,
218238,1,,,
218241,1,,,
218242,1,,,
218243,1,,,
218244,1,,,
218245,3,4.0,,
218247,1,,,
218252,1,,,
218253,1,,,
218254,2,,,
218255,1,,,
218256,1,,,
218257,1,,,
218258,1,,,
218259,1,,,
218261,1,,,
218262,1,,,
218263,1,,,
218265,5,,,
218266,1,,,
218267,1,,,
218269,1,,,
218272,1,,,
218273,1,,,
218275,1,,,
218276,1,,,
218278,1,,,
218279,1,,,
218280,1,,,
218281,1,,,
218283,1,,,
218284,1,,,
218290,1,,,
218291,1,,,
218292,3,9.0,,
218295,1,,,
218296,1,,,
218297,1,,,
218299,1,,,
218302,1,,,
218303,1,,,
218305,1,,,
218306,1,,,
218309,1,,,
218310,1,,,
218312,1,,,
218313,1,,,
218314,3,,,
218316,1,,,
218317,1,,,
218318,3,,,
218319,1,,,
218321,1,,,
218322,1,,,
218323,1,,,
218324,1,,,
218325,1,,,
218327,1,,,
218328,1,,,
218331,1,,,
218332,1,,,
218333,1,,,
218335,1,,,
218336,5,,,
218338,1,,,
218339,5,,,
218340,3,4.0,,
218342,1,,,
218344,1,,,
218345,1,,,
218346,1,,,
218347,1,,,
218348,1,,,
218349,1,,,
218351,1,,,
218353,1,,,
218355,1,,,
218358,1,,,
218359,1,,,
218361,1,,,
218362,3,1.0,3.0,
218364,1,,,
218366,1,,,
218367,1,,,
218370,1,,,
218371,1,,,
218372,1,,,
218375,1,,,
218376,1,,,
218377,1,,,
218378,1,,,
218379,1,,,
218380,1,,,
218381,1,,,
218382,1,,,
218383,1,,,
218384,1,,,
218385,1,,,
218386,1,,,
218387,1,,,
218388,3,4.0,,
218389,1,,,
218390,1,,,
218392,3,3.0,,
218393,1,,,
218395,1,,,
218396,1,,,
218398,1,,,
218399,3,1.0,,
218400,1,,,
218402,1,,,
218404,1,,,
218405,1,,,
218406,1,,,
218407,1,,,
218408,1,,,
218410,5,,,
218413,1,,,
218414,1,,,
218415,1,,,
218416,1,,,
218418,1,,,
218419,1,,,
218421,1,,,
218423,1,,,
218425,1,,,
218426,1,,,
218427,1,,,
218429,3,,,
218430,1,,,
218431,1,,,
218434,1,,,
218435,1,,,
218436,1,,,
218438,1,,,
218439,1,,,
218442,1,,,
218444,1,,,
218445,1,,,
218446,3,1.0,,
218447,1,,,
218448,1,,,
218449,1,,,
218451,1,,,
218452,3,,,
218454,1,,,
218455,5,,,
218456,1,,,
218457,2,,,
218458,2,,,
218461,1,,,
218462,1,,,
218463,1,,,
218465,1,,,
218466,3,1.0,,
218468,1,,,
218469,1,,,
218471,1,,,
218472,1,,,
218474,1,,,
218475,1,,,
218476,1,,,
218477,1,,,
218478,1,,,
218480,1,,,
218482,5,,,
218483,1,,,
218484,3,,,
218487,1,,,
218488,3,,,
218490,1,,,
218491,1,,,
218493,1,,,
218494,1,,,
218495,3,6.0,,
218496,1,,,
218498,1,,,
218501,1,,,
218502,1,,,
218504,3,9.0,,
218505,1,,,
218506,1,,,
218507,1,,,
218508,1,,,
218509,1,,,
218512,1,,,
218513,1,,,
218514,1,,,
218516,1,,,
218519,1,,,
218521,1,,,
218522,1,,,
218523,1,,,
218524,1,,,
218525,1,,,
218528,1,,,
218531,1,,,
218532,1,,,
218533,1,,,
218534,1,,,
218536,1,,,
218538,1,,,
218539,3,1.0,,
218540,1,,,
218541,1,,,
218543,1,,,
218544,1,,,
218545,5,,,
218548,3,3.0,,
218549,1,,,
218550,1,,,
218551,1,,,
218552,1,,,
218553,1,,,
218554,5,,,
218556,3,3.0,,
218558,1,,,
218559,1,,,
218561,1,,,
218563,1,,,
218564,1,,,
218565,1,,,
218567,1,,,
218568,1,,,
218569,1,,,
218570,2,,,
218572,1,,,
218573,1,,,
218575,2,,,
218577,1,,,
218579,1,,,
218580,1,,,
218582,1,,,
218583,3,3.0,,
218584,1,,,
218585,1,,,
218586,1,,,
218588,1,,,
218589,1,,,
218590,1,,,
218591,1,,,
218592,1,,,
218593,1,,,
218595,1,,,
218596,1,,,
218597,1,,,
218600,1,,,
218601,1,,,
218603,1,,,
218606,1,,,
218607,1,,,
218608,1,,,
218609,1,,,
218610,1,,,
218612,1,,,
218613,1,,,
218614,2,,,
218617,1,,,
218618,1,,,
218620,1,,,
218622,2,,,
218623,1,,,
218626,1,,,
218627,1,,,
218628,1,,,
218629,1,,,
218632,3,3.0,,
218637,3,,,
218638,1,,,
218640,1,,,
218643,1,,,
218644,1,,,
218645,1,,,
218646,1,,,
218647,1,,,
218649,1,,,
218650,1,,,
218651,1,,,
218652,1,,,
218655,1,,,
218656,1,,,
218657,1,,,
218660,1,,,
218661,1,,,
218662,1,,,
218664,1,,,
218666,1,,,
218667,1,,,
218668,1,,,
218669,1,,,
218670,3,,,
218671,1,,,
218673,1,,,
218676,1,,,
218677,5,,,
218678,1,,,
218680,1,,,
218684,1,,,
218685,1,,,
218686,1,,,
218687,1,,,
218690,1,,,
218691,1,,,
218692,1,,,
218693,1,,,
218694,3,4.0,,
218695,1,,,
218696,2,,,
218697,1,,,
218698,1,,,
218701,1,,,
218702,1,,,
218703,1,,,
218704,1,,,
218706,1,,,
218707,1,,,
218708,5,,,
